firma,2019,2018,2017,2016
Goldman Sachs Group,931796.0,916776.0,860165.0,861395.0
Continental,46229.1,44957.4,38151.0,35666.0
Vinci,86133.1,83817.2,71642.0,67504.0
Finatis,45172.5,48192.8,46270.0,45340.0
Deutsche Bahn,66896.4,67766.6,59716.0,60891.0
Sumitomo Mitsui Financial Group,1840238.1,1871994.1,1775349.0,1660312.0
Alimentation Couche-Tard,23140.6,14171.2,12304.0,10838.0
Shandong Energy Group,43756.6,43534.9,39887.0,41122.0
Lenovo Group,29988.5,28494.2,27186.0,24933.0
Industrial Bank,977563.4,985387.3,875731.0,816016.0
HBIS Group,63725.2,57767.8,51858.0,-
ThyssenKrupp,39334.3,41427.9,39411.0,39838.0
Shanghai Pudong Development Bank,916091.0,942450.9,842832.0,776819.0
Vodafone Group,160391.2,179059.3,165420.0,192159.0
Morgan Stanley,853531.0,851733.0,814949.0,787465.0
JBS,29454.7,32776.3,31605.0,30785.0
Zhejiang Geely Holding Group,48564.8,42445.6,29749.0,24839.0
Banco Bradesco,336888.4,369192.6,366418.0,259596.0
MS&amp;AD Insurance Group Holdings,209022.7,211350.8,190596.0,180670.0
Groupe BPCE,1456097.4,1512788.2,1302721.0,1267090.0
Tokio Marine Holdings,203590.9,215648.8,202923.0,194477.0
Cisco Systems,108784.0,129818.0,121652.0,113481.0
Saint-Gobain,50340.0,51533.4,46158.0,48723.0
Kia Motors,46416.2,48855.0,42141.0,39222.0
Orange,110404.7,113729.6,99840.0,99311.0
Cigna,153226.0,61753.0,59360.0,57088.0
Denso,52339.5,54212.5,46233.0,44874.0
Sumitomo,71532.7,73080.3,69669.0,69566.0
China Minsheng Banking,873155.3,906340.0,848389.0,696176.0
Woolworths Group,17402.3,-,17495.0,19469.0
Banco Bilbao Vizcaya Argentaria,773455.5,828601.1,771837.0,814735.0
American International Group,491984.0,498301.0,498264.0,496943.0
State Bank of India,561369.6,554532.4,530590.0,448658.0
Tencent Holdings,105382.0,85176.9,56968.0,-
Zurich Insurance Group,395342.0,422065.0,382679.0,381972.0
Deutsche Bank,1540920.6,1770811.7,1677437.0,1769561.0
Bayer,144343.8,90162.1,86731.0,80289.0
HCA Healthcare,39207.0,-,33758.0,32744.0
China Poly Group,158364.3,138876.4,95657.0,91455.0
China Shipbuilding Industry,73372.6,76200.2,69621.0,68229.0
China Merchants Group,203620.6,183913.8,-,-
KDDI,66236.7,61831.6,56223.0,51675.0
BHP Group,111993.0,117006.0,118953.0,124580.0
Bunge,19425.0,18871.0,19188.0,17922.0
CNP Assurances,474944.3,508283.1,442027.0,427672.0
Wuchan Zhongda Group,12533.7,13197.8,11018.0,11237.0
Sinomach,57450.7,-,39142.0,40260.0
Aluminum Corp. of China,93408.3,81593.5,75089.0,74973.0
SABIC,85231.2,85992.7,84489.0,87446.0
Volvo,53558.6,50393.9,43924.0,44394.0
China Vanke,222652.2,178968.0,119555.0,94168.0
Sberbank,450270.0,471033.2,415730.0,375039.0
Royal Bank of Canada,1016475.5,940998.5,880724.0,821134.0
American Airlines Group,60580.0,51396.0,51274.0,48415.0
Wilmar International,45679.9,40932.6,37032.0,37939.0
Pegatron,19011.9,16411.3,13776.0,14497.0
Delta Air Lines,60266.0,53292.0,51261.0,53134.0
Hanwha,151966.1,149659.0,128247.0,124219.0
China United Network Communications,78908.5,88086.2,88626.0,94758.0
Shaanxi Yanchang Petroleum (Group),53958.1,50590.3,45552.0,45024.0
Charter Communications,146130.0,146623.0,149067.0,-
Tata Motors,44349.0,50808.2,42162.0,40669.0
ZF Friedrichshafen,30897.6,33421.0,30719.0,32947.0
Metro,9842.9,18651.3,28039.0,30867.0
New York Life Insurance,311449.3,303182.8,287196.0,271668.0
Banco do Brasil,360361.1,408007.4,426416.0,351167.0
American Express,188602.0,181159.0,158893.0,161184.0
Nationwide,214141.9,221256.9,197790.0,185306.0
ACS,39199.6,38281.3,35196.0,38321.0
Shandong Weiqiao Pioneering Group,35359.2,35439.2,31641.0,27049.0
UBS Group,958489.0,939794.7,920291.0,942160.0
Bharat Petroleum,19768.3,18464.9,16801.0,14164.0
Best Buy,12901.0,13049.0,13856.0,13519.0
Xiamen C&amp;D,36868.0,32280.1,21729.0,-
Liberty Mutual Insurance Group,125989.0,142502.0,125592.0,121707.0
China COSCO Shipping,117702.0,109043.9,94792.0,55642.0
Jardine Matheson,86258.0,82814.0,-,66955.0
Shaanxi Coal &amp; Chemical Industry,72966.0,-,-,67314.0
Talanx,186170.7,190184.9,165124.0,165928.0
China National Aviation Fuel Group,8054.1,7810.0,6093.0,4875.0
Lufthansa Group,43677.5,43548.3,36593.0,35260.0
Merck,82637.0,87872.0,95377.0,101779.0
China Huaneng Group,156327.2,159644.8,144306.0,149670.0
Bouygues,43084.2,42961.1,36758.0,36752.0
Sanofi,127339.3,119867.9,110390.0,111141.0
China Everbright Group,696969.9,686170.8,627701.0,538517.0
Honeywell International,57773.0,59387.0,54146.0,49316.0
Xiamen ITG Holding Group,15123.3,15282.1,12161.0,-
Iberdrola,129202.3,132911.3,112536.0,113686.0
United Airlines Holdings,44792.0,42326.0,40140.0,40861.0
Maersk Group,56636.0,63227.0,61118.0,62408.0
Toronto-Dominion Bank,1016604.2,992315.2,878268.0,844193.0
