firma,2019,2018,2017,2016
Jizhong Energy Group,35721.3,33188.0,33366.0,37817.0
E.ON,35703.6,42795.0,42213.0,129277.0
Fujitsu,35647.9,36991.0,41620.0,39477.0
Mizuho Financial Group,35406.3,32142.0,30390.0,26783.0
Mitsubishi Chemical Holdings,35386.4,33616.0,31158.0,31846.0
CK Hutchison Holdings,35361.2,31892.0,33475.0,22715.0
Lloyds Banking Group,35251.9,52422.0,65208.0,47192.0
Idemitsu Kosan,35091.0,29606.0,25888.0,26147.0
Poste Italiane,35071.1,37695.0,36617.0,34098.0
JFE Holdings,34937.4,33202.0,30539.0,28586.0
Suzuki Motor,34917.9,33912.0,29252.0,26494.0
Jiangxi Copper,34870.0,31964.0,31680.0,31555.0
CRRC Group,34673.0,-,-,-
Credit Suisse Group,34284.2,31900.0,30588.0,35173.0
Tsingshan Holding Group,34242.2,-,-,-
State Power Investment,34229.2,29727.0,29493.0,30616.0
Taiwan Semiconductor Manufacturing,34218.2,32126.0,29388.0,26575.0
China Energy Engineering Group,34176.5,35048.0,33930.0,33223.0
Quanta Computer,34102.6,33564.0,27715.0,31734.0
Plains GP Holdings,34055.0,26223.0,-,23152.0
China South Industries Group,33895.8,44785.0,71151.0,70081.0
Yango Longking Group,33394.8,-,23657.0,-
Jinchuan Group,33391.6,-,-,-
China Electronics Technology Group,33323.8,30176.0,27292.0,26410.0
Toshiba,33312.8,35630.0,-,52032.0
Prudential,33252.6,111458.0,96965.0,63106.0
Commonwealth Bank of Australia,33186.3,33887.0,32287.0,37680.0
Bridgestone,33062.9,32495.0,30678.0,31318.0
China Electronics,33055.7,31990.0,30010.0,31537.0
GS Caltex,33052.7,26821.0,22207.0,25061.0
Sompo Holdings,32857.4,34028.0,31559.0,-
Sumitomo Life Insurance,32825.0,33821.0,40921.0,31100.0
Schlumberger,32815.0,30440.0,27810.0,35475.0
3M,32765.0,31657.0,30109.0,30274.0
AbbVie,32753.0,28216.0,25638.0,22859.0
Chubb,32717.0,32243.0,31469.0,-
CHS,32683.3,31935.0,30347.0,34582.0
British American Tobacco,32667.0,26128.0,-,-
Ansteel Group,32619.4,27792.0,-,-
China Huadian,32421.4,29612.0,28204.0,31437.0
Capital One Financial,32377.0,29999.0,27519.0,25098.0
AIA Group,32369.0,38330.0,28196.0,23274.0
Mazda Motor,32150.8,31356.0,29665.0,28376.0
Compal Electronics,32102.8,29175.0,23773.0,26695.0
Progressive,31979.0,26839.0,23441.0,-
DZ Bank,31975.5,33563.0,32636.0,31195.0
Hyundai Mobis,31949.4,31091.0,32972.0,33196.0
CPC,31928.9,27106.0,-,24362.0
Coca-Cola,31856.0,35410.0,41863.0,44294.0
L'Oréal,31790.7,29926.0,28572.0,28017.0
CRH,31625.0,31069.0,29973.0,26218.0
Bank of Nova Scotia,31589.3,27555.0,25817.0,25119.0
Johnson Controls International,31400.0,30172.0,37674.0,-
USAA,31367.8,30016.0,27131.0,24361.0
Air France-KLM Group,31292.2,29064.0,27920.0,28910.0
Shougang Group,31103.8,27489.0,-,21514.0
Compass Group,30878.8,28578.0,27837.0,27157.0
Hewlett Packard Enterprise,30852.0,28871.0,50123.0,-
BT Group,30743.0,31439.0,31333.0,28670.0
Inditex,30686.7,28887.0,25733.0,23053.0
Veolia Environnement,30579.5,28321.0,26972.0,27693.0
Abbott Laboratories,30578.0,27390.0,-,-
Micron Technology,30391.0,-,-,-
PKN ORLEN Group,30389.9,25256.0,-,-
Schneider Electric,30353.9,27891.0,-,29551.0
Phoenix Pharma,30296.0,-,26976.0,25642.0
Travelers Cos.,30282.0,28902.0,27625.0,26800.0
Gree Electrical Appliances,30239.4,-,-,-
Coop Group,30235.4,28601.0,27669.0,26916.0
Northrop Grumman,30095.0,25803.0,24508.0,23526.0
Suncor Energy,30081.4,24793.0,-,23217.0
Manulife Financial,30070.6,44941.0,40238.0,26933.0
Medtronic,29953.0,29710.0,28833.0,-
Kansai Electric Power,29832.5,28283.0,27792.0,27038.0
Arrow Electronics,29676.8,26813.0,23825.0,23282.0
Philip Morris International,29625.0,28748.0,26685.0,26794.0
Koç Holding,29592.3,27108.0,23456.0,25515.0
Wistron,29509.5,27480.0,-,-
UniCredit Group,29332.3,29257.0,32539.0,34576.0
Samsung Life Insurance,29305.8,28273.0,26222.0,24501.0
SAP,29159.6,26446.0,24397.0,23065.0
La Poste,29149.0,27177.0,25760.0,25563.0
Northwestern Mutual,29124.0,29331.0,28799.0,28111.0
Naturgy Energy Group,29123.0,27653.0,26070.0,28858.0
Migros Group,29098.2,28518.0,28155.0,28486.0
Danone,29092.3,27816.0,24267.0,24861.0
Westpac Banking,29027.9,28565.0,27704.0,31064.0
KB Financial Group,29000.9,25052.0,-,-
International Airlines Group,28803.2,25894.0,24956.0,25356.0
Medipal Holdings,28698.5,28398.0,28277.0,25224.0
Sumitomo Electric Industries,28662.9,27820.0,25975.0,24432.0
China Datang,28654.9,25299.0,23871.0,26440.0
Xinjiang Guanghui Industry Investment,28564.0,26106.0,21919.0,-
Subaru,28505.4,30735.0,30696.0,-
Anhui Conch Group,28499.0,-,-,-
Huaxia Life Insurance,28492.8,-,-,-
CFE,28457.1,26108.0,-,-
Samsung C&amp;T,28319.4,25902.0,24217.0,-
Adecco Group,28167.1,26670.0,25112.0,24415.0
Randstad,28102.2,26234.0,22873.0,21319.0
LafargeHolcim,28088.8,26545.0,27308.0,24514.0
Haier Smart Home,27713.6,23563.0,-,-
INTL FCStone,27622.7,29424.0,-,34693.0
Anglo American,27610.0,26243.0,-,-
China Taiping Insurance Group,27485.8,25598.0,-,-
Mapfre Group,27423.5,26817.0,25775.0,24795.0
Chubu Electric Power,27374.1,25753.0,24028.0,23774.0
PBF Energy,27186.1,-,-,-
Cathay Life Insurance,27183.4,28805.0,26292.0,22881.0
Financière de l'Odet,27172.7,-,-,-
Australia &amp; New Zealand Banking Group,27147.9,26283.0,26032.0,28958.0
East Japan Railway,27076.1,26627.0,26587.0,23883.0
OMV Group,27061.3,-,-,24989.0
Raytheon,27058.0,25348.0,24069.0,23247.0
TongLing Nonferrous Metals Group,26846.7,-,-,-
Shanxi LuAn Mining Group,26840.5,23785.0,-,28642.0
CJ Corp.,26835.7,23796.0,-,-
Datong Coal Mine Group,26697.6,23698.0,25630.0,31958.0
Shanxi Coking Coal Group,26692.8,-,25123.0,31039.0
Nokia,26628.1,26092.0,26113.0,-
Heineken Holding,26608.1,24831.0,23044.0,23208.0
Xiaomi,26443.5,-,-,-
Yangquan Coal Industry Group,26290.1,23793.0,24284.0,28310.0
NEC,26277.0,25673.0,24596.0,23500.0
Fubon Financial Holding,26276.5,24688.0,-,-
Kraft Heinz,26268.0,26232.0,26487.0,-
Hailiang Group,26251.0,-,-,-
Flex,26210.5,25441.0,23863.0,-
Xinxing Cathay International Group,26207.9,31078.0,33174.0,32567.0
Emirates Group,26147.7,24837.0,22799.0,22734.0
Ceconomy,26129.4,40957.0,64853.0,71266.0
Michelin,25996.7,24754.0,23120.0,23516.0
National Australia Bank,25942.7,24550.0,26958.0,34181.0
Mondelez International,25938.0,25896.0,25923.0,29636.0
Adidas,25920.0,24669.0,-,-
Shanxi Jincheng Anthracite Coal Mining Group,25844.7,24659.0,22875.0,27572.0
Rabobank Group,25823.3,23812.0,22956.0,24019.0
Henan Energy &amp; Chemical,25781.9,23699.0,-,-
China General Technology,25779.1,-,22113.0,27667.0
U.S. Bancorp,25775.0,23996.0,22744.0,21494.0
Macy's,25739.0,24837.0,25778.0,27079.0
Fomento Económico Mexicano,25679.0,24341.0,-,-
Dollar General,25625.0,-,21987.0,-
LG Chem,25617.3,-,-,-
Onex,25606.0,26290.0,22943.0,22104.0
Formosa Petrochemical,25462.8,-,-,-
Safran,25191.9,-,-,-
Achmea,25180.1,24872.0,26494.0,25763.0
Rajesh Exports,25142.6,29125.0,36114.0,25237.0
Nucor,25067.3,-,-,-
Bank of Montreal,25002.7,-,-,-
Taikang Insurance Group,24931.7,24058.0,-,-
Ultrapar Holdings,24816.0,25065.0,22167.0,22695.0
Air Liquide,24796.6,-,-,-
