firma,2019,2018,2017,2016
Centrica,244.1,428.8,2256.7,-1141.0
Midea Group,3058.5,2557.3,2210.4,2022.0
Fresenius,2392.2,2044.8,1761.6,1506.0
Massachusetts Mutual Life Insurance,397.9,513.0,1273.5,-
Intesa Sanpaolo,4779.7,-,-,-
LyondellBasell Industries,4688.0,-,-,-
TJX,3059.8,-,-,-
Yankuang Group,-258.0,-280.1,-,-
ConocoPhillips,6257.0,-855.0,-3615.0,-4428.0
Barclays,2862.3,-1652.0,2807.4,-75.0
J. Sainsbury,287.4,409.5,490.9,709.0
China Aerospace Science &amp; Industry,1846.4,1607.1,1443.7,1471.0
China Aerospace Science &amp; Technology,2463.7,2225.2,1996.2,1854.0
Meiji Yasuda Life Insurance,2070.6,2392.2,2064.8,1783.0
George Weston,442.9,584.9,414.9,412.0
SNCF Mobilités,5313.1,1280.5,565.1,-2416.0
Daiwa House Industry,2141.5,2133.3,1861.5,863.0
ABB,2173.0,2213.0,1899.0,1933.0
Deere,2368.4,2159.1,1523.9,1940.0
Tech Data,340.6,116.6,195.1,266.0
Power Corp. of Canada,1033.2,1031.0,855.5,1438.0
Swiss Re,462.0,398.0,3558.0,4597.0
Suning.com Group,2014.8,-,106.0,-
Mitsubishi Heavy Industries,914.1,636.2,809.6,532.0
SK Hynix,14125.4,9414.0,-,-
Vale,6860.0,5507.0,3982.0,-12129.0
Enterprise Products Partners,4172.4,2799.3,2513.1,2521.0
XMXYG,199.3,147.2,-,-
Aisin Seiki,993.2,1214.4,1168.9,808.0
Jiangsu Shagang Group,1869.2,1061.8,352.1,142.0
Nike,1933.0,4240.0,3760.0,3273.0
Publix Super Markets,2381.2,2291.9,2025.7,1965.0
General Dynamics,3345.0,2912.0,2955.0,2965.0
Exelon,2010.0,3770.0,1134.0,2269.0
Canon,2289.5,2157.6,1385.0,1820.0
Enbridge,2223.7,2203.0,1560.9,196.0
Jizhong Energy Group,-152.8,-141.5,-153.9,-228.0
E.ON,3803.7,4424.3,-9344.4,-7764.0
Fujitsu,943.1,1528.4,816.7,723.0
Mizuho Financial Group,870.9,5203.8,5570.1,5589.0
Mitsubishi Chemical Holdings,1529.0,1911.5,1442.1,387.0
CK Hutchison Holdings,4976.3,4504.5,4252.4,15295.0
Lloyds Banking Group,5737.9,4901.9,2784.4,1314.0
Idemitsu Kosan,734.6,1464.9,813.7,-300.0
Poste Italiane,1651.1,776.7,687.8,612.0
JFE Holdings,1474.7,1305.5,627.0,280.0
Suzuki Motor,1612.3,1947.1,1476.2,972.0
Jiangxi Copper,131.4,113.5,20.4,-57.0
CRRC Group,486.6,-,-,-
Credit Suisse Group,2069.9,-998.7,-2750.7,-3060.0
Tsingshan Holding Group,578.6,-,-,-
State Power Investment,170.7,198.6,436.6,289.0
Taiwan Semiconductor Manufacturing,12043.9,11339.3,10283.7,9542.0
