firma,2019,2018,2017,2016
Sumitomo Life Insurance,42848,42835,42245,42115
Schlumberger,100000,100000,100000,95000
3M,93516,91536,91584,89446
AbbVie,30000,29000,30000,28000
Chubb,32700,31000,31000,-
CHS,10495,11626,12157,12511
British American Tobacco,63877,62270,-,-
Ansteel Group,136319,145771,-,-
China Huadian,97629,105006,107000,109431
Capital One Financial,47600,49300,47300,45400
AIA Group,22000,20000,20000,20000
Mazda Motor,49998,49755,48849,46398
Compal Electronics,82374,63491,64728,72796
Progressive,37346,33656,31721,-
DZ Bank,28682,28201,28264,28213
Hyundai Mobis,34782,29492,29499,25216
CPC,15712,14814,-,14685
Coca-Cola,62600,61800,100300,123200
L'Oréal,86030,82606,89331,82881
CRH,89831,89213,86778,78106
Bank of Nova Scotia,97629,88645,88901,89214
Johnson Controls International,122000,121000,209000,-
USAA,33689,32705,29943,28681
Air France-KLM Group,81527,80595,82175,93300
Shougang Group,108086,115482,-,114807
Compass Group,595841,588112,527180,515864
Hewlett Packard Enterprise,60000,66000,195000,-
BT Group,106700,105800,106400,102500
Inditex,174386,171839,162450,152854
Veolia Environnement,170819,164385,156225,158780
Abbott Laboratories,103000,99000,-,-
Micron Technology,36000,-,-,-
PKN ORLEN Group,21282,20262,-,-
Schneider Electric,137534,142013,-,160843
Phoenix Pharma,29631,-,26611,24842
Travelers Cos.,30400,30800,30900,30900
Gree Electrical Appliances,88800,-,-,-
Coop Group,77448,74532,73451,67877
Northrop Grumman,85000,70000,67000,65000
Suncor Energy,12480,12381,-,13190
Manulife Financial,34000,34300,34500,33500
Medtronic,98003,102688,98017,-
Kansai Electric Power,32597,32520,32666,33089
Arrow Electronics,20100,18800,18700,18500
Philip Morris International,77400,80600,79500,80200
Koç Holding,92631,94111,95456,91304
Wistron,82955,82955,-,-
UniCredit Group,86786,91952,117659,125510
Samsung Life Insurance,5420,5244,5284,5348
SAP,96498,88543,84183,76986
La Poste,233076,236223,240407,245424
Northwestern Mutual,5870,5437,5646,5530
Naturgy Energy Group,13945,15374,17229,19939
Migros Group,79913,79303,77704,76183
Danone,105783,104843,99187,99781
Westpac Banking,35029,35096,35280,35241
KB Financial Group,27040,26846,-,-
International Airlines Group,64734,63422,63387,60862
Medipal Holdings,15623,15993,15745,14697
Sumitomo Electric Industries,272796,255133,248330,240865
China Datang,93800,96735,97091,96204
Xinjiang Guanghui Industry Investment,82175,79747,65616,-
Subaru,34200,37771,36668,-
Anhui Conch Group,55380,-,-,-
Huaxia Life Insurance,500000,-,-,-
CFE,91369,90000,-,-
Samsung C&amp;T,17274,12953,13898,-
